,sip_ct,sip_pkt_size_ct
74.193.112.181,142,206691
111.192.188.241,6251,200032
194.96.126.164,135,5400
213.203.13.184,2913,4347900
211.31.51.169,1,60
198.15.182.21,4,176
73.121.224.241,1,32
190.86.134.137,1,32
89.170.40.18,1,44
185.62.237.173,2789,290900
172.249.162.142,66,13150
221.7.81.187,1,76
162.194.80.116,19547,29319780
91.66.103.66,160,214542
41.166.211.85,1,32
69.39.250.170,1,32
208.87.230.250,1,52
62.197.72.201,5,420
72.243.37.232,21,28890
185.48.173.62,60,2400
172.103.54.251,1,40
172.249.28.78,29,8193
195.120.91.151,1,32
204.194.145.251,1667,887835
108.73.145.19,14,728
207.111.183.197,53,2120
195.208.244.146,543,21720
104.109.237.102,139,203963
93.244.86.115,1,32
81.109.202.46,122,4880
121.132.120.33,1,40
172.249.25.130,7,604
128.78.171.178,105,14356
139.253.188.67,56,2688
142.161.219.221,161,6440
203.104.217.225,1,40
185.12.25.229,10,600
14.118.39.35,1,32
91.9.150.252,6,7550
202.201.73.200,15,1608
172.204.66.24,6,348
59.50.231.196,1,32
186.196.195.229,1,32
197.229.215.172,1,32
113.21.21.42,1,48
111.196.76.252,130,4160
87.59.82.222,151,6040
14.103.169.177,1,32
42.129.144.28,3,120
81.109.202.71,2,80
200.181.136.163,1,32
172.249.162.192,405,591108
182.63.156.65,1,32
185.72.27.145,77,3080
181.1.59.170,1,32
126.26.254.114,383,185944
202.18.87.182,1,40
81.109.202.16,49,1960
36.19.101.198,1,48
71.230.250.222,2,80
218.165.176.243,3,387
107.164.180.51,209,8360
194.204.18.97,1,32
156.56.38.162,1,40
78.137.126.78,1,32
125.111.98.210,1,32
185.72.26.63,10,400
111.170.195.104,285,409113
185.72.27.26,212,8480
190.180.91.32,1,40
220.158.45.235,1,32
206.195.27.1,220,30115
122.232.19.92,101,4545
76.67.76.120,1,32
196.180.49.22,4,176
18.178.87.5,4,2359
213.247.133.162,1,60
5.64.104.159,1,40
195.208.253.181,29,1160
124.154.227.170,2,120
111.223.189.72,1,32
17.193.183.217,2965,4317040
74.193.187.131,23,21129
120.180.155.149,12,528
177.135.58.148,1,32
79.71.247.177,1,32
14.233.252.252,15,600
121.100.136.217,1,76
179.119.123.136,1,32
208.87.230.246,5,290
206.200.165.139,1,32
185.0.65.10,14,560
70.113.220.61,1,32
92.84.156.21,1,32
120.180.155.151,36,1584
117.38.198.69,5,200
162.37.140.153,1,56
98.90.198.138,1,32
80.2.65.2,1,32
52.252.240.132,1,76
90.2.118.83,1,32
81.109.202.10,41,1640
117.224.80.235,1,32
167.139.58.83,1,40
185.0.65.16,53,2120
151.182.146.138,1,32
90.109.104.223,1,32
185.72.27.89,23,920
2.36.249.220,1,32
172.119.52.97,24,8675
69.92.214.101,1,52
71.187.92.114,1,32
94.25.134.240,1,32
108.73.130.76,90,87195
191.122.88.251,1,60
107.164.186.35,250,10000
138.221.243.247,5,200
59.51.149.19,1,60
185.72.26.36,12,480
60.198.106.88,1,32
159.137.143.195,3,120
172.249.162.206,20,6832
104.248.1.195,8,320
209.238.124.122,6,264
196.180.49.18,7,308
111.222.156.186,1,32
92.195.74.67,3,120
91.119.48.71,1,32
172.249.30.145,39,11316
211.22.190.178,7,1192
81.109.202.26,235,9400
99.170.232.47,1,32
182.91.137.57,102,153000
49.12.232.87,1,32
192.70.74.100,1,32
172.249.29.70,7,600
46.231.172.30,68,2720
203.136.241.37,1,44
180.151.225.93,10,440
117.227.50.124,1,32
195.67.124.12,1,32
8.216.201.196,1,52
96.41.174.44,1,32
109.202.142.57,1,40
60.58.20.203,1,52
27.241.219.228,1,48
172.249.162.131,73,59507
84.175.170.141,1,32
208.108.73.78,4,686
116.193.69.243,1,60
54.215.145.80,3,1242
84.32.172.223,1,32
185.72.27.70,76,3040
47.20.62.135,1,32
116.119.252.220,2,100
202.66.23.244,1,48
172.249.30.49,54,31242
70.188.161.75,1,32
1.85.214.17,1,52
199.247.55.53,1,32
41.67.141.16,1,32
140.229.176.43,1,76
125.237.216.157,1,52
95.72.200.55,1,40
210.156.250.30,5,354
31.113.147.64,58,13909
78.188.110.67,1,32
185.72.27.66,170,6800
40.45.60.76,8,6215
45.125.126.41,2,80
46.231.172.31,46,1840
74.193.23.148,7,552
184.116.73.66,1,48
196.180.49.2,13,572
191.171.46.74,1,52
84.10.136.16,1,32
119.243.83.250,1,32
138.4.81.97,6,240
146.15.141.28,130,176052
66.249.182.81,3,509
192.49.243.242,71,2840
125.74.31.92,1,32
185.72.27.106,66,2640
185.72.26.104,28,1120
103.105.219.137,1,60
93.10.9.196,1,32
47.244.13.187,4,336
54.181.42.193,11,15752
182.163.210.75,1,40
114.51.44.118,1,40
68.74.23.188,1,40
74.193.112.201,1521,2165778
177.196.142.255,4,669
52.254.14.80,1,76
23.86.26.82,344,514987
101.172.161.177,1,32
43.217.140.162,47,5365
202.46.27.113,8,920
23.230.123.186,130,150277
72.184.239.250,1,32
108.73.130.149,61,4017
104.111.135.147,2,470
103.108.23.104,27,972
221.27.63.3,1,60
61.106.200.204,1,32
18.182.99.194,34,4173
188.169.61.164,1,32
34.196.142.93,1,32
13.160.52.237,1,40
217.178.79.27,4,245
112.153.170.156,1,52
91.29.152.248,1,92
77.64.146.116,1,32
161.179.8.239,1,32
160.122.191.73,1,32
171.170.40.191,1,60
74.52.9.85,1,32
52.70.133.173,1,32
196.49.225.2,1,40
185.72.27.101,25,1000
126.177.24.157,1,32
59.125.231.74,1,40
123.179.141.166,1,76
46.70.7.128,1,32
209.62.24.64,1,32
82.150.118.15,1,32
71.95.122.197,1,32
116.3.31.33,1,32
46.24.137.29,1,40
185.155.237.156,1,32
13.204.209.158,1,76
113.164.238.17,1,52
114.171.187.251,1,40
201.194.136.190,1,32
117.27.43.63,103,15476
52.14.103.209,20,1682
160.197.177.206,1,32
185.135.112.115,1,40
80.217.47.84,1,60
95.161.196.68,2,243
79.195.207.8,1,32
68.42.59.132,1,40
204.131.96.146,1,32
109.209.147.178,1,32
69.0.162.36,1,32
60.70.253.226,2,104
17.199.30.112,1,113
41.243.246.21,1,60
154.198.152.69,1,40
222.71.22.74,1,32
101.152.233.110,52,13570
173.107.49.70,1,32
172.249.29.78,34,24022
185.72.27.133,48,1920
182.25.81.253,1,76
121.20.23.58,196,10588
31.113.147.114,874,1229961
77.73.152.189,1,32
220.106.57.189,1,32
74.141.65.181,1,32
184.102.65.223,1,32
173.164.216.33,1,32
195.90.245.225,1,40
198.15.150.29,9,360
189.143.146.157,1,32
183.120.41.224,1,32
13.161.234.137,3768,5411482
17.199.26.150,399,29366
94.31.94.105,1,44
189.149.165.3,1,40
111.73.14.77,1,60
68.74.81.246,1,40
52.163.214.248,1,150
47.252.179.131,1,40
209.142.150.241,1,32
126.196.85.8,1,32
123.7.230.143,1,40
107.218.128.227,1,32
162.101.193.101,1,32
31.113.147.71,38,44411
91.96.71.63,1,40
159.52.36.12,7,280
173.221.209.232,137,183948
113.218.134.165,1,32
38.245.175.121,5,200
66.30.46.196,6,633
151.16.96.211,1,32
47.89.169.205,1,32
98.28.232.63,1,32
125.69.23.9,1,32
218.14.78.10,10,910
18.178.50.68,14,7773
116.28.66.77,1,32
165.229.131.38,7,280
189.142.64.200,1,32
138.221.89.121,5,200
110.128.142.149,1,60
64.22.167.111,4,240
88.222.50.206,1,32
123.28.213.103,1,40
220.188.255.45,1,32
24.153.210.147,1,40
66.30.46.163,2,80
172.249.28.67,30,8195
69.219.109.99,6,993
49.242.93.48,1,60
121.3.234.42,1,32
76.75.126.237,1,32
162.12.150.111,220,8800
52.248.235.33,1,76
202.84.97.3,1,48
54.95.107.179,7,364
37.17.181.100,1,40
103.81.167.225,1,48
151.150.185.125,8,2725
1.13.118.118,1,32
190.13.127.202,1,32
35.90.65.118,1,32
52.250.8.134,1,76
123.159.54.158,1,32
176.91.45.194,1,32
144.198.77.206,1,32
111.192.112.132,1,40
14.43.1.155,1,32
69.34.59.250,2,96
185.252.120.253,30,1800
83.181.59.104,1,32
149.131.146.167,1,32
208.108.72.113,4,625
109.237.171.157,6,301
115.248.121.232,1,32
64.22.164.115,16,1625
118.51.10.241,1,32
122.135.108.6,1,32
139.173.140.86,2,80
79.234.186.62,1,32
185.153.51.129,1,32
80.34.136.161,1,32
91.96.127.178,1,40
124.167.51.65,5,220
58.229.35.40,1,96
71.49.232.40,1,32
113.118.89.18,1,32
91.20.65.116,1,44
99.23.214.147,1,32
107.161.164.110,1,40
74.193.190.87,1,48
172.249.28.69,72,95419
62.174.135.5,3,120
134.214.250.21,11,440
83.86.141.100,1,32
217.15.118.55,1,32
121.221.166.16,1,32
46.231.172.29,42,1680
119.140.21.27,1,32
185.72.27.49,22,880
85.107.175.64,1,32
13.161.234.197,1,52
76.154.169.22,1,32
121.235.139.22,1,32
157.42.190.139,1,40
91.216.238.110,1,32
185.72.26.18,15,600
87.62.137.212,1,32
108.73.145.146,7,686
80.134.91.177,1,40
41.80.25.170,1,40
54.240.173.68,4,2176
87.123.116.36,1,60
31.119.248.128,1,32
107.152.249.65,1,32
13.206.122.249,25,2059
75.173.232.57,1,32
128.221.90.140,3,120
93.96.126.193,1,32
195.208.253.162,30,1200
46.42.155.233,33,42755
103.213.63.75,134,6992
119.201.87.234,1,32
183.161.58.167,1,76
81.109.202.36,64,2560
71.230.250.58,1,40
211.46.21.6,1,32
66.10.198.86,1,32
85.74.165.42,1,32
118.190.117.141,1,32
112.172.84.165,1,56
54.241.218.77,2,104
203.41.145.6,1,40
13.30.125.15,35,5673
88.158.162.26,1,32
78.69.42.197,1,44
200.242.24.212,1,60
160.171.66.87,1,32
49.232.11.26,6,1423
71.230.146.118,4,176
180.187.105.196,1,32
194.137.246.58,1,32
54.139.82.46,22,1408
73.193.88.154,1,32
17.192.163.5,2,157
136.64.216.220,1,32
122.239.137.2,1,36
195.27.1.236,1,32
188.90.141.224,1,32
95.172.44.48,1,32
177.204.0.7,1,32
193.163.34.17,1,32
217.128.199.246,1,40
113.204.147.108,2,96
142.161.238.230,10,400
49.233.152.69,242,29500
115.201.35.254,1,40
138.221.254.166,5,200
117.236.62.64,1,40
217.50.67.61,1,32
198.57.63.156,1,32
78.85.209.203,1,44
197.41.82.125,1,40
23.64.129.220,2419,3628042
71.48.87.19,1,32
13.206.199.153,20,13567
71.230.250.133,1,40
220.202.165.104,24,960
74.193.23.172,2,119
113.227.193.1,1,60
17.193.185.205,934,1329136
5.64.104.147,2,80
82.165.191.240,1,32
185.72.27.6,13,520
71.230.250.205,2,80
63.149.1.226,1,60
88.93.79.155,1,32
185.48.172.193,61,2440
41.160.23.32,1,40
109.146.2.118,1,324
18.242.172.25,1,32
17.199.26.247,15,5085
200.0.232.94,1,32
108.142.137.22,1,32
47.147.79.239,1,32
71.230.152.134,6,299
181.48.192.149,1,32
157.134.45.142,2,306
177.231.69.41,1,32
27.53.167.40,1,40
145.146.5.234,1,40
104.150.114.135,1,32
137.165.9.149,4,717
162.104.243.132,1,60
47.244.10.123,4,336
174.113.200.111,1,32
41.98.240.239,5,420
81.109.202.11,31,1240
52.228.244.80,232,325945
75.68.17.151,1,32
220.4.185.253,1,32
52.15.88.10,17,1597
68.190.82.14,1,32
182.100.162.228,1,48
186.212.180.171,1,32
75.69.252.208,1,32
185.134.52.211,19,2299
190.183.228.18,1,32
66.60.23.113,1,32
193.248.205.7,1,32
124.124.252.190,1,32
125.161.36.194,1,32
62.148.148.168,1,32
151.73.141.88,1,32
221.134.181.114,1,76
98.95.190.73,1,32
78.113.61.174,1,32
97.38.31.122,1,32
99.136.38.68,1,32
142.161.236.75,4,160
70.241.57.87,1,32
46.231.172.26,22,880
66.247.94.110,5,216
213.161.124.174,1,32
23.83.227.117,5,568
5.115.245.42,1,32
81.101.103.245,1,52
35.88.213.179,1,60
95.250.253.89,1,48
190.233.136.228,1,32
64.247.128.254,2,198
118.65.88.156,1,32
189.171.8.95,1,32
222.168.150.76,2,80
94.123.165.205,1,32
37.195.190.192,1,32
92.85.164.243,1,32
94.237.251.1,1,40
92.67.254.131,18,720
206.57.241.177,44,7182
88.227.68.162,1,32
124.70.85.183,1,32
222.75.43.167,1,48
87.119.28.189,1,32
74.58.117.38,1,40
80.212.114.72,11,490
84.81.237.202,1,32
187.197.3.192,1,32
221.4.108.180,2,80
52.116.199.135,1,32
84.247.60.211,5,420
167.148.245.120,9,1547
159.153.189.238,1,40
177.221.15.79,1,40
167.148.79.19,4,160
212.0.107.29,1,40
186.40.72.8,1,32
185.106.244.205,1,56
125.202.231.218,1,32
74.193.187.159,3,180
139.173.152.137,1,40
86.236.208.201,5,420
42.183.83.81,1,40
122.191.23.13,1,32
39.5.124.178,1,32
139.173.128.224,3,171
192.79.148.198,1,32
23.94.53.253,1,32
172.252.18.70,1,32
34.228.61.13,1,32
222.110.6.128,1,60
13.161.234.236,1,52
52.20.70.104,2,80
1.2.31.207,1,60
41.118.96.81,1,32
5.188.104.139,10,1588
196.180.49.13,10,440
172.102.234.217,1,32
3.238.160.60,6,4866
77.241.122.240,16,640
17.199.26.238,25,11333
212.106.126.186,8,1335
172.249.30.59,76,59518
36.164.21.20,26,1144
8.255.228.10,1,32
83.233.159.46,1,40
103.61.108.246,1,52
36.206.189.110,1,60
168.37.172.97,2,88
134.214.180.160,6,240
52.7.127.144,1,52
50.194.151.8,1,32
220.60.68.67,2,80
36.7.164.153,1,32
126.237.86.67,4,1124
40.134.121.54,2,80
104.120.158.91,3,187
81.120.66.42,1,32
93.156.134.24,60,77896
174.174.34.61,1,32
54.215.145.143,4,208
118.172.197.145,1,32
13.5.88.247,1,32
59.62.78.105,1,48
17.199.26.234,4,1786
185.72.27.118,19,760
61.58.232.100,1,32
54.215.145.168,2,104
52.15.239.237,21,2540
218.101.177.53,6,240
179.220.6.74,1,40
96.2.45.71,2,228
179.156.154.1,1,40
212.106.127.190,8,1187
115.28.253.232,1,48
106.96.90.9,6,240
92.67.254.101,14,560
106.196.20.94,14,716
216.68.133.238,86,86564
18.250.113.217,1,40
216.68.133.177,18,5107
52.243.209.183,1,52
13.4.142.54,27,4574
205.58.73.13,2,645
70.76.21.85,1,32
52.100.176.154,5,638
201.81.51.29,1,32
178.59.140.211,1,32
23.28.70.12,1,32
191.190.92.122,1,32
71.230.146.117,6,264
172.249.162.130,16,2675
222.186.21.52,13,1573
196.208.236.68,1,32
116.51.131.55,1,32
185.72.27.53,29,1160
114.60.43.169,1742,2564224
205.58.73.158,1,227
59.3.99.35,1,32
109.212.151.196,1,32
187.124.56.215,1,32
212.139.71.23,1,32
178.223.27.41,6,423
109.125.92.208,1,32
38.110.73.223,1,32
119.58.116.91,1,76
82.153.153.168,1,58
185.175.10.39,1,32
108.44.227.165,1,32
113.247.122.119,1,60
182.28.185.149,1,76
162.248.36.105,1,87
213.237.169.254,1,52
64.49.244.186,1,60
168.27.127.208,1,32
185.72.27.113,27,1080
196.180.49.35,10,300
196.180.49.15,11,484
108.73.130.77,4,196
92.8.58.140,29,1160
113.52.163.131,1,52
54.136.187.83,2,135
73.254.155.220,1,32
104.118.57.98,1,32
58.50.227.159,1,32
18.229.50.224,1,32
123.124.21.206,1,32
157.42.86.25,18,2665
61.66.79.128,1,60
187.218.137.63,1,32
192.248.224.41,1,32
113.116.246.39,1,76
71.230.250.49,1,40
170.205.162.80,1,32
177.176.254.8,1,44
211.220.237.174,1,76
185.219.218.182,1,44
190.158.252.213,1,32
107.178.196.229,7,1488
165.229.136.81,9,360
88.87.79.242,1,32
59.163.8.231,3,120
178.185.104.75,17,748
59.162.230.117,2,80
178.55.153.173,1,32
102.84.236.13,1,32
162.1.253.41,15,8640
139.241.202.211,1,52
38.241.41.163,1,32
99.219.38.33,1,32
177.152.81.64,1,32
173.62.95.174,1,32
201.19.203.45,1,40
212.224.101.71,4,718
54.242.35.86,1,32
196.180.49.41,13,572
121.156.198.198,1,32
47.120.121.217,1,32
196.180.49.43,8,352
70.124.194.33,1,32
75.165.227.188,1,32
92.250.121.142,1,32
211.175.23.35,16,1536
38.132.219.83,1,32
210.5.114.98,1,32
81.229.236.191,1,32
13.206.225.155,1,40
196.180.49.75,8,352
124.167.50.170,10,780
88.11.63.93,2,80
189.106.57.221,1,32
109.202.190.20,1,40
111.165.227.36,1,32
176.218.254.206,1,32
196.180.49.65,7,210
213.172.238.11,1,32
126.24.200.146,1,32
192.252.94.97,2,1581
190.230.189.229,1,32
190.234.59.93,1,40
104.128.80.1,1,171
213.104.159.1,1,32
89.170.13.65,1,40
186.215.244.7,1,32
103.75.146.60,1,32
41.149.220.236,1,32
69.192.109.208,1,32
172.249.28.99,18,12615
75.121.179.68,1,32
182.14.119.183,1,32
121.182.95.130,1,32
177.199.238.156,1,32
187.29.99.143,1,40
81.109.202.69,34,1360
89.173.225.64,1,32
20.86.217.72,7,568
23.124.24.11,1,32
58.249.190.59,19,7254
89.231.219.63,2,80
74.193.127.182,312,425764
175.101.164.116,1,32
67.186.222.242,1,32
88.199.67.208,1,32
12.49.213.241,1,32
213.226.108.197,1,40
162.194.50.126,49,6489
182.119.135.97,2,120
168.241.118.11,1,32
221.42.21.92,2,104
70.3.173.187,1,32
80.186.134.130,1,32
52.51.123.200,3,515
93.54.154.218,3,120
94.161.16.69,1,32
141.149.249.0,5,200
185.72.26.0,20,800
201.136.190.148,1,32
87.224.73.199,1,32
49.239.98.21,1,86
81.24.46.37,1,32
94.182.105.167,1,44
78.121.199.102,1,32
24.185.23.6,3,120
187.157.198.121,1,44
13.218.11.169,2,80
23.222.206.107,1,32
179.222.141.144,1,32
37.52.119.26,1,32
112.52.55.15,1,32
122.236.163.215,1,48
31.178.78.136,1,32
52.249.4.19,1,76
172.102.230.184,2,80
213.93.31.212,1,32
129.196.12.124,4,688
59.50.211.209,2,180
68.160.131.141,1,32
37.246.115.52,1,32
58.54.204.234,1,58
31.113.147.119,1,221
186.36.108.191,1,32
191.146.93.78,1,32
101.39.53.226,1,58
60.21.176.243,2,100
69.202.235.99,1,60
173.200.201.174,2,541
151.150.78.69,5,1625
164.81.48.89,2,80
167.58.68.186,1,60
76.145.94.20,1,32
66.235.248.58,11,6337
221.25.42.110,5,916
159.52.53.33,1,40
23.86.31.213,13,5154
41.165.24.239,1,48
179.246.37.98,1,32
139.68.202.55,12,480
49.7.117.26,1,32
98.113.81.27,1,32
88.154.168.254,1,44
1.64.247.231,1,76
185.72.26.45,10,400
60.51.66.56,1,44
86.167.156.2,1,32
69.106.38.196,1,32
192.33.42.167,10,14218
193.56.34.106,1,32
216.202.230.134,10,400
113.183.149.204,1,44
197.54.65.156,1,40
80.126.18.50,1,119
196.180.49.3,7,308
169.44.232.249,1,32
61.26.0.89,10,400
122.243.62.40,1,76
181.57.147.121,1,40
209.176.113.25,2,356
185.72.27.125,23,920
115.132.223.19,1,32
183.130.155.115,1,32
213.173.108.73,1,32
73.183.53.208,1,32
35.91.155.66,1,32
194.29.153.58,1,32
210.131.143.4,1,84
192.76.151.28,1,32
202.95.124.143,1,126
112.239.137.239,1,76
91.168.203.23,1,32
123.149.122.111,1,40
46.185.119.229,1,32
95.47.67.220,1,32
115.197.96.77,1,32
113.49.92.248,1,76
60.155.214.176,1,32
124.159.136.51,1,40
87.84.18.83,1,32
24.119.103.37,1,32
188.84.56.243,1,32
43.211.26.180,1,40
107.206.229.76,1,32
123.3.169.20,1,32
78.175.26.6,1,44
175.242.36.157,1,32
50.251.159.247,1,32
202.100.222.128,1,44
185.104.111.133,5,280
121.64.86.6,1,32
118.181.149.14,1,32
23.90.37.107,2,104
205.58.75.95,1,346
189.224.78.116,1,32
89.121.208.81,1,32
176.221.94.77,1,32
87.96.129.126,1,32
186.120.44.60,1,32
61.131.18.26,5,200
98.91.87.78,1,32
39.23.166.86,1,32
120.180.155.148,30,1320
179.93.75.112,1,40
71.230.250.116,2,80
196.180.49.71,12,528
23.94.230.211,1,52
52.249.171.75,1,76
24.23.0.140,1,32
88.60.165.3,1,40
162.1.252.121,14,8064
126.121.246.128,1,32
122.224.91.31,1,48
79.13.142.241,1,32
37.70.92.68,1,32
162.8.33.57,28,14475
112.30.246.115,1,60
210.254.30.163,1,32
178.223.253.80,3,120
4.85.71.175,1,32
123.255.21.135,1,32
216.211.39.228,1,110
204.242.26.113,3,784
97.7.32.97,1,56
211.231.81.112,1,40
172.249.28.70,7,802
37.17.217.135,1,40
50.138.72.15,1,32
4.47.189.197,2,112
177.52.154.132,1,32
112.245.149.3,1,32
64.22.165.114,3,253
54.240.150.242,1,32
177.235.247.140,1,40
81.56.174.96,1,32
1.215.66.119,1,52
89.98.121.243,1,32
108.4.168.181,1,32
193.216.222.153,33,1320
185.72.27.121,27,1080
108.52.92.137,1,32
76.94.1.116,1,32
70.118.54.194,1,32
35.68.170.74,12,2211
117.206.191.72,1,32
36.22.149.206,1,32
116.251.31.71,1,32
5.141.119.77,1,40
190.165.92.217,1,32
119.15.182.207,1,32
43.197.65.9,1,40
117.209.154.224,1,32
52.212.0.58,19,12626
68.145.253.248,1,32
37.194.95.245,1,52
182.89.137.201,2,405
186.155.89.62,1,32
221.130.45.253,1,32
85.173.156.92,1,32
113.57.49.51,1,48
145.236.119.71,21,840
50.4.167.104,1,32
87.99.213.5,12,1139
201.115.105.56,1,32
107.161.185.113,1,60
206.62.22.191,1,60
183.137.22.109,1,32
188.202.204.170,1,40
179.135.209.202,1,32
5.189.5.100,6,240
191.211.103.133,1,32
172.249.31.69,16,8563
