,dip_ct,dip_pkt_size_ct
163.33.11.6,42,6568
163.33.175.141,118,138496
163.33.52.102,1,40
163.33.94.136,199,204751
202.204.60.245,1744,2395222
163.33.203.33,19,1424
203.77.116.218,601,28009
163.33.248.128,524,715900
202.198.0.156,7692,11535619
203.77.126.180,2164,1805206
203.77.54.96,1,40
203.77.107.167,5251,180510
150.75.253.157,1,40
163.33.107.205,14,1799
163.33.239.47,71,11726
71.126.222.64,392,23520
202.198.44.179,158,67062
150.75.247.107,1,30
150.75.62.11,87,4913
163.33.218.217,1,40
203.77.49.176,1,40
133.149.219.219,1,40
150.75.242.188,1,40
133.11.73.42,1,40
163.33.75.134,1,40
203.77.42.173,1,44
163.33.233.223,76,43298
133.149.166.189,1,40
163.33.99.44,5,380
203.77.115.51,16,1536
133.149.126.130,1,40
133.149.117.34,1,40
203.77.51.0,1,40
163.33.193.121,1,44
163.33.180.60,1,44
133.11.65.75,1,40
133.149.171.195,1,44
133.149.45.243,1,40
203.77.3.29,1,40
133.11.70.143,116,12516
150.75.198.242,1,40
203.77.116.213,822,452393
133.11.70.155,118,12257
203.77.113.246,55,8353
133.149.49.128,1,40
163.33.191.103,11,1292
203.77.118.202,146,11096
203.77.82.230,1,40
203.77.51.239,1,40
163.33.202.246,1,44
163.33.190.209,1,40
133.11.118.146,1,40
163.33.241.222,1,40
203.77.78.183,1,40
133.11.69.148,63,3787
150.75.101.197,1,40
133.149.130.43,1,40
150.75.62.28,76,4175
133.149.188.190,1,40
133.149.201.77,1,40
163.33.232.142,21,4253
163.33.163.124,1,40
133.11.123.242,1,40
163.33.191.211,19,1309
202.198.44.138,23,5773
133.11.70.157,141,14694
133.149.196.195,1,40
133.149.37.216,1,44
150.75.61.142,1,40
203.77.51.249,1,40
133.11.107.160,8,384
133.11.89.38,1,40
203.77.1.188,1,40
133.149.65.47,1,40
163.33.141.221,444,405691
163.33.190.250,1,40
163.33.249.77,21,20330
133.149.222.240,5,390
133.149.122.61,2,84
163.33.95.100,14,7768
203.77.53.109,1,40
163.33.253.109,1,40
150.75.247.210,1,44
163.33.80.30,68,102974
150.75.162.117,1,40
150.75.117.1,1,40
150.75.161.241,1,40
133.149.29.191,1,40
163.33.94.230,1,40
163.33.21.222,1,40
163.33.209.158,2,275
163.33.122.48,1,40
150.75.215.90,1,40
203.77.4.197,1,40
133.149.110.62,1,40
133.149.143.149,1,40
150.75.5.226,1,40
133.149.254.164,1,40
202.25.109.121,116,53704
150.75.247.40,1,40
163.33.246.54,1,40
150.75.233.185,1,40
163.33.133.225,1,40
163.33.30.123,1,40
133.149.45.79,1,40
150.75.115.190,1,40
133.149.118.75,1,40
150.75.62.137,1,40
133.149.8.46,1,40
150.75.43.18,1,40
163.33.234.129,1,40
133.149.219.235,1,40
150.75.189.134,1,40
133.11.70.141,81,8873
133.11.70.140,87,9527
163.33.58.231,1,40
150.75.178.155,1,40
150.75.227.230,1,40
133.11.69.194,56,3266
163.33.123.238,1,40
163.33.64.66,1,40
202.198.7.126,8,722
163.33.159.90,1,40
203.77.11.160,1,40
203.77.88.252,1,40
163.33.93.87,11,1108
150.75.8.147,1,44
133.149.157.115,1,40
133.149.16.56,1,40
150.75.101.21,1,40
150.75.214.229,1,40
150.75.117.88,1,40
133.149.135.157,1,40
203.77.60.164,1,44
203.77.93.37,1,40
133.149.212.151,1,40
150.75.237.241,1,40
133.149.174.225,1,40
